customer_id,segment,region,acquisition_channel,signup_date,tenure_months,monthly_revenue_gbp,annual_revenue_gbp,credit_score,products_held,support_tickets_90d,digital_engagement_score,avg_payment_delay_days,estimated_clv_gbp,churned,churn_date
NX-00038,Personal Loan,London,Organic Search,2023-02-08,7,162.79,1953.46,596,1,2,20.1,3.7,2279.04,0,
NX-00039,Auto Finance,Scotland,Organic Search,2024-01-15,1,278.44,3341.25,637,2,1,62.0,5.2,1656.7,0,
NX-00040,Business Line of Credit,London,Paid Ads,2023-10-04,4,363.53,4362.42,661,1,0,63.3,6.5,6361.86,0,
NX-00041,Personal Loan,East Anglia,Partnership,2023-04-04,43,169.71,2036.56,679,2,1,59.6,9.2,3563.98,0,
NX-00042,Business Line of Credit,Wales,Referral,2024-03-06,42,294.51,3534.07,749,2,0,26.9,8.0,6803.08,0,
NX-00043,Personal Loan,South East,Direct,2023-04-25,6,112.01,1344.08,720,1,3,36.6,1.1,823.25,0,
NX-00044,Mortgage Refinance,London,Organic Search,2023-06-25,1,670.81,8049.77,802,1,2,21.2,0.9,234.79,1,2023-07-25
NX-00045,Personal Loan,Wales,Paid Ads,2023-05-01,2,167.68,2012.11,624,3,3,38.2,1.5,117.37,1,2023-06-27
NX-00046,Auto Finance,Midlands,Organic Search,2023-01-13,6,382.11,4585.27,744,1,6,40.1,1.9,3477.17,0,
NX-00047,Personal Loan,North West,Organic Search,2024-04-29,41,215.76,2589.11,728,1,1,70.0,0.8,5059.55,0,
NX-00048,Business Line of Credit,South East,Direct,2024-01-22,2,460.56,5526.74,673,2,0,73.8,0.3,5319.48,0,
NX-00049,Business Line of Credit,North West,Referral,2024-02-20,20,327.67,3932.05,627,1,0,33.0,3.2,5275.51,0,
NX-00050,Personal Loan,South East,Paid Ads,2023-06-12,1,107.35,1288.24,646,3,1,48.9,0.6,488.46,0,
NX-00051,Mortgage Refinance,North West,Direct,2023-10-02,55,451.46,5417.56,643,1,0,24.6,7.4,12008.93,0,
NX-00052,Auto Finance,Wales,Direct,2024-02-02,6,412.55,4950.64,774,4,3,49.7,1.0,866.36,1,2024-05-12
NX-00053,Mortgage Refinance,East Anglia,Paid Ads,2023-06-25,20,653.34,7840.12,725,1,2,41.7,0.7,8232.13,0,
NX-00054,Mortgage Refinance,East Anglia,Organic Search,2024-04-14,5,437.44,5249.25,727,1,1,76.9,0.6,5052.41,0,
NX-00055,Business Line of Credit,Wales,Partnership,2023-12-03,13,362.08,4344.93,684,2,1,20.9,1.0,4688.9,0,
NX-00056,Mortgage Refinance,Scotland,Referral,2024-01-14,2,380.64,4567.64,667,3,1,61.0,2.8,2264.79,0,
NX-00057,Personal Loan,North West,Direct,2023-11-20,2,87.17,1046.1,698,3,0,60.4,11.5,1006.87,0,
NX-00058,Personal Loan,London,Partnership,2023-06-22,38,186.1,2233.15,685,1,1,52.8,2.0,4168.55,0,
NX-00059,Personal Loan,Midlands,Organic Search,2024-05-02,34,283.5,3402.06,674,2,3,57.0,2.7,7938.13,0,
NX-00060,Personal Loan,South East,Direct,2023-10-02,30,284.26,3411.1,700,2,3,58.6,5.5,6367.38,0,
NX-00061,Business Line of Credit,Midlands,Organic Search,2023-03-05,13,499.03,5988.33,621,3,1,49.2,1.2,9606.28,0,
NX-00062,Personal Loan,London,Paid Ads,2023-04-11,23,143.84,1726.08,694,2,4,48.4,0.6,1157.91,1,2023-07-27
NX-00063,Mortgage Refinance,Scotland,Referral,2023-11-18,1,302.58,3630.94,673,2,3,51.7,1.7,2859.36,0,
NX-00064,Business Line of Credit,London,Paid Ads,2024-04-07,5,556.12,6673.42,640,3,0,55.4,1.2,8564.22,0,
NX-00065,Personal Loan,Scotland,Paid Ads,2023-03-07,5,206.83,2482.0,715,1,2,27.9,6.0,3185.23,0,
NX-00066,Business Line of Credit,Wales,Paid Ads,2023-11-27,14,378.89,4546.68,778,4,3,37.8,11.4,4906.63,0,
NX-00067,Personal Loan,Wales,Direct,2023-02-14,6,151.0,1812.03,750,4,3,43.0,3.5,2219.74,0,
NX-00068,Auto Finance,South East,Organic Search,2023-03-28,2,338.03,4056.42,664,3,3,52.3,3.2,236.62,1,2023-05-17
NX-00069,Personal Loan,South East,Organic Search,2024-04-02,12,130.4,1564.83,716,3,2,42.8,3.8,1277.95,0,
NX-00070,Mortgage Refinance,Scotland,Organic Search,2023-03-08,23,555.88,6670.62,726,1,1,68.6,1.9,12646.38,0,
NX-00071,Auto Finance,Midlands,Organic Search,2024-03-28,6,192.41,2308.97,686,2,2,47.5,3.0,3232.56,0,
NX-00072,Personal Loan,North West,Paid Ads,2023-09-16,1,313.71,3764.53,678,1,1,14.4,0.2,109.8,1,2023-10-16
NX-00073,Personal Loan,East Anglia,Organic Search,2024-02-26,3,138.78,1665.33,698,3,3,36.9,2.0,145.72,1,2024-04-01
NX-00074,Auto Finance,North West,Organic Search,2023-07-24,3,341.87,4102.46,818,2,1,48.6,1.2,5145.17,0,
NX-00075,Auto Finance,London,Organic Search,2024-03-01,4,194.16,2329.9,694,2,4,10.4,0.2,2922.08,0,
NX-00076,Auto Finance,Midlands,Direct,2024-04-11,14,276.94,3323.28,610,3,0,27.0,2.4,5912.66,0,
NX-00077,Auto Finance,North West,Partnership,2024-02-28,12,360.77,4329.23,622,3,1,41.2,1.3,4545.7,0,
NX-00078,Personal Loan,London,Referral,2023-06-27,16,246.06,2952.69,670,1,2,49.1,2.7,5425.56,0,
NX-00079,Business Line of Credit,London,Referral,2024-02-23,6,519.23,6230.73,611,1,5,62.1,2.2,6542.27,0,
NX-00080,Personal Loan,South East,Direct,2023-10-07,24,171.71,2060.46,672,1,1,82.9,1.0,3125.04,0,
NX-00081,Mortgage Refinance,East Anglia,Paid Ads,2023-12-10,3,420.11,5041.29,802,1,1,51.8,2.3,4117.05,0,
NX-00082,Auto Finance,London,Direct,2023-01-17,8,203.79,2445.43,651,1,0,37.6,1.4,2425.05,0,
NX-00083,Personal Loan,North West,Paid Ads,2023-10-23,22,270.23,3242.73,620,1,0,44.8,7.6,6053.11,0,
NX-00084,Personal Loan,South East,Paid Ads,2023-07-21,2,186.2,2234.43,668,2,0,37.7,1.4,2150.64,0,
NX-00085,Personal Loan,East Anglia,Partnership,2024-03-25,1,197.29,2367.53,674,1,2,47.4,0.1,1035.8,0,
NX-00086,Personal Loan,South East,Direct,2023-06-21,30,249.92,2999.07,625,1,1,22.4,4.3,6210.57,0,
NX-00087,Auto Finance,London,Paid Ads,2024-02-11,5,336.94,4043.26,611,3,1,82.3,9.9,2830.28,0,
NX-00088,Auto Finance,North West,Partnership,2023-09-19,16,279.81,3357.68,754,2,1,43.6,0.6,4994.55,0,
NX-00089,Mortgage Refinance,London,Organic Search,2023-07-13,1,631.66,7579.93,707,1,1,41.6,10.8,7295.68,0,
NX-00090,Business Line of Credit,South East,Partnership,2023-05-29,16,339.07,4068.83,653,1,6,40.6,2.9,6527.08,0,
NX-00091,Personal Loan,Midlands,Partnership,2024-01-10,5,86.93,1043.18,616,3,2,25.0,5.6,1186.62,0,
NX-00092,Auto Finance,Midlands,Referral,2024-01-11,1,402.95,4835.37,651,4,3,36.8,1.9,2820.63,0,
NX-00093,Auto Finance,London,Paid Ads,2023-02-04,13,246.86,2962.36,612,2,3,31.7,2.9,2851.28,0,
NX-00094,Business Line of Credit,North West,Direct,2024-01-04,3,380.44,4565.31,648,4,3,50.9,5.5,3728.33,0,
NX-00095,Auto Finance,Scotland,Organic Search,2023-01-29,6,272.71,3272.56,793,2,4,29.9,12.2,3531.64,0,
NX-00096,Business Line of Credit,North West,Organic Search,2023-09-20,1,341.71,4100.56,693,1,1,46.3,0.6,119.6,1,2023-10-20
NX-00097,Business Line of Credit,North West,Referral,2023-08-09,2,563.17,6758.08,646,1,3,37.7,6.9,394.22,1,2023-09-11
NX-00098,Business Line of Credit,South East,Organic Search,2023-02-22,4,468.68,5624.15,717,1,3,51.6,3.3,656.15,1,2023-03-30
NX-00099,Personal Loan,North West,Paid Ads,2024-02-25,1,161.77,1941.27,628,2,1,88.8,8.8,2717.78,0,
NX-00100,Personal Loan,London,Referral,2023-10-06,33,103.46,1241.52,657,1,2,21.1,1.1,2462.34,0,
NX-00101,Personal Loan,Scotland,Organic Search,2023-12-19,1,198.23,2378.73,578,2,2,12.3,0.8,69.38,1,2024-01-18
NX-00102,Auto Finance,Wales,Paid Ads,2024-01-27,9,93.95,1127.41,750,2,0,8.8,1.4,1381.08,0,
NX-00103,Personal Loan,Midlands,Paid Ads,2023-03-17,1,193.96,2327.58,668,1,3,69.2,6.5,67.89,1,2023-04-16
NX-00104,Business Line of Credit,East Anglia,Organic Search,2024-05-08,5,594.61,7135.36,634,1,3,49.7,1.8,9157.05,0,
NX-00105,Mortgage Refinance,North West,Referral,2023-06-25,36,529.68,6356.21,715,1,4,46.4,9.1,12421.08,0,
NX-00106,Personal Loan,London,Referral,2023-01-10,2,252.38,3028.56,622,3,2,25.6,0.8,4239.98,0,
NX-00107,Business Line of Credit,North West,Referral,2024-04-07,47,260.21,3122.48,625,3,1,84.7,0.7,7376.87,0,
NX-00108,Auto Finance,South East,Partnership,2023-04-27,3,453.08,5437.0,659,2,3,35.8,3.4,475.74,1,2023-07-26
NX-00109,Personal Loan,London,Partnership,2023-10-07,18,245.84,2950.05,614,1,2,45.6,1.0,3011.5,0,
NX-00110,Personal Loan,North West,Referral,2023-08-06,11,208.56,2502.7,644,1,4,27.6,0.4,2919.81,0,
NX-00111,Personal Loan,North West,Direct,2023-06-24,30,144.1,1729.16,669,4,0,35.4,1.4,3681.66,0,
NX-00112,Personal Loan,London,Direct,2023-08-22,11,134.13,1609.54,674,1,4,63.2,0.9,2675.87,0,
NX-00113,Mortgage Refinance,North West,Organic Search,2024-03-12,10,509.36,6112.37,607,1,4,63.2,1.6,7131.09,0,
NX-00114,Auto Finance,Scotland,Direct,2023-09-09,3,386.22,4634.67,666,2,2,34.8,0.6,5271.93,0,
NX-00115,Auto Finance,North West,Organic Search,2023-10-22,2,184.76,2217.1,711,1,2,66.5,9.4,1422.64,0,
NX-00116,Mortgage Refinance,London,Organic Search,2024-03-26,34,521.56,6258.74,721,4,2,29.4,4.9,8397.14,0,
NX-00117,Auto Finance,Midlands,Paid Ads,2023-11-18,5,348.74,4184.85,652,2,1,20.6,5.5,2685.28,0,
NX-00118,Personal Loan,Wales,Direct,2023-01-06,6,235.76,2829.13,669,4,3,39.3,1.1,2888.07,0,
NX-00119,Mortgage Refinance,South East,Partnership,2023-01-21,19,629.69,7556.23,666,3,2,31.0,5.8,10137.94,0,
NX-00120,Business Line of Credit,London,Paid Ads,2023-03-14,5,235.71,2828.55,603,3,2,61.8,2.7,2227.49,0,
NX-00121,Auto Finance,Wales,Referral,2023-11-26,42,380.54,4566.51,650,3,3,37.9,0.2,9456.47,0,
NX-00122,Mortgage Refinance,Midlands,Paid Ads,2023-02-05,18,530.08,6360.95,723,2,5,44.9,0.5,9461.91,0,
NX-00123,Personal Loan,East Anglia,Organic Search,2024-01-22,12,114.86,1378.37,724,1,2,75.5,1.8,1447.29,0,
NX-00124,Personal Loan,Midlands,Direct,2023-08-21,29,178.55,2142.6,702,1,2,42.5,1.5,3062.13,0,
NX-00125,Personal Loan,London,Referral,2023-08-04,1,62.48,749.76,533,1,5,51.3,4.8,984.06,0,
NX-00126,Business Line of Credit,North West,Referral,2024-04-14,4,495.18,5942.14,637,2,4,16.7,6.2,693.25,1,2024-07-13
NX-00127,Auto Finance,London,Referral,2024-05-11,8,279.78,3357.4,705,2,2,59.3,6.0,4700.36,0,
NX-00128,Mortgage Refinance,South East,Organic Search,2023-07-25,3,329.48,3953.79,774,1,0,77.9,1.4,5189.35,0,
NX-00129,Personal Loan,Scotland,Direct,2024-03-01,19,162.6,1951.14,679,1,1,35.5,3.0,3642.14,0,
NX-00130,Business Line of Credit,North West,Organic Search,2024-03-04,35,328.03,3936.35,685,1,4,63.4,2.1,7347.86,0,
NX-00131,Business Line of Credit,North West,Referral,2023-02-13,7,336.33,4036.01,673,3,1,51.1,6.6,4355.53,0,
NX-00132,Personal Loan,Wales,Organic Search,2023-04-01,5,50.0,600.0,608,3,2,37.1,6.6,560.0,0,
NX-00133,Personal Loan,London,Referral,2024-02-21,45,79.67,956.04,699,3,1,23.6,0.2,2119.23,0,
NX-00134,Personal Loan,North West,Organic Search,2023-11-12,8,166.22,1994.62,596,1,4,55.9,2.5,1919.82,0,
NX-00135,Mortgage Refinance,Midlands,Partnership,2024-04-14,9,459.74,5516.85,675,1,4,58.9,2.1,3861.79,0,
NX-00136,Personal Loan,East Anglia,Paid Ads,2023-04-03,6,238.44,2861.26,684,1,3,35.3,4.4,2753.97,0,
NX-00137,Business Line of Credit,London,Direct,2024-04-11,33,337.87,4054.42,682,2,1,54.0,0.7,8041.26,0,
NX-00138,Auto Finance,Midlands,Direct,2023-12-05,11,247.84,2974.1,608,1,0,66.3,3.6,4770.95,0,
NX-00139,Business Line of Credit,London,Organic Search,2024-03-29,20,357.57,4290.83,641,3,1,22.5,4.0,8134.69,0,
NX-00140,Mortgage Refinance,North West,Referral,2024-05-07,23,490.45,5885.35,717,2,1,63.3,0.1,8067.83,0,
NX-00141,Mortgage Refinance,Midlands,Partnership,2023-03-24,5,533.72,6404.64,684,1,0,74.5,1.7,6351.26,0,
NX-00142,Personal Loan,Scotland,Paid Ads,2023-11-29,7,155.62,1867.44,641,4,0,60.4,11.6,2342.09,0,
NX-00143,Business Line of Credit,South East,Organic Search,2023-10-09,26,494.26,5931.11,621,3,0,13.6,1.1,11936.35,0,
NX-00144,Personal Loan,Midlands,Direct,2024-04-14,6,318.01,3816.16,724,3,1,21.9,6.5,5565.23,0,
NX-00145,Personal Loan,London,Referral,2023-01-21,22,130.47,1565.68,681,1,1,34.8,2.7,2785.61,0,
NX-00146,Personal Loan,London,Referral,2023-08-16,39,203.51,2442.12,617,4,1,18.9,1.1,6125.64,0,
NX-00147,Auto Finance,Scotland,Referral,2024-01-11,13,292.36,3508.35,669,2,5,58.8,5.4,1330.25,1,2024-12-21
NX-00148,Business Line of Credit,Wales,Organic Search,2023-05-10,18,556.11,6673.37,635,1,3,12.1,14.0,3503.52,1,2023-11-14
NX-00149,Personal Loan,London,Paid Ads,2023-06-24,22,192.18,2306.16,696,2,6,45.7,4.1,2354.2,0,
NX-00150,Personal Loan,London,Referral,2023-04-18,26,136.41,1636.96,748,1,1,28.5,0.2,2387.23,0,
NX-00151,Mortgage Refinance,London,Organic Search,2024-02-18,7,345.24,4142.9,620,4,0,19.1,0.2,3383.37,0,
NX-00152,Personal Loan,North West,Direct,2023-10-10,1,216.63,2599.55,688,3,0,50.1,2.0,1213.12,0,
NX-00153,Personal Loan,London,Paid Ads,2023-03-12,7,114.97,1379.66,687,2,2,49.1,0.0,1891.29,0,
NX-00154,Business Line of Credit,East Anglia,Referral,2024-02-08,15,573.89,6886.64,562,1,3,61.7,3.4,8034.41,0,
NX-00155,Mortgage Refinance,South East,Partnership,2023-02-19,8,602.98,7235.75,725,2,3,74.2,0.0,10552.13,0,
NX-00156,Personal Loan,London,Paid Ads,2023-04-05,19,185.2,2222.43,795,1,1,77.8,10.8,3759.61,0,
NX-00157,Auto Finance,Scotland,Paid Ads,2023-10-06,6,185.02,2220.24,687,1,2,52.4,6.4,2978.82,0,
NX-00158,Auto Finance,North West,Organic Search,2024-02-01,14,344.03,4128.31,754,2,3,47.7,5.1,4214.32,0,
NX-00159,Personal Loan,Wales,Paid Ads,2023-12-03,2,277.01,3324.07,610,1,2,3.6,5.0,193.9,1,2024-01-19
NX-00160,Auto Finance,East Anglia,Paid Ads,2023-05-12,19,255.99,3071.91,640,3,4,47.9,5.4,2777.52,0,
NX-00161,Business Line of Credit,Wales,Organic Search,2024-02-02,11,323.55,3882.62,683,1,1,56.2,1.7,2831.08,0,
NX-00162,Auto Finance,North West,Organic Search,2023-10-03,3,282.64,3391.66,633,3,4,93.9,4.7,2572.01,0,
NX-00163,Auto Finance,London,Organic Search,2024-01-15,4,327.36,3928.26,682,1,1,17.8,1.4,458.3,1,2024-05-14
NX-00164,Business Line of Credit,South East,Referral,2023-01-13,19,350.94,4211.3,735,2,0,60.5,5.7,7124.11,0,
NX-00165,Personal Loan,North West,Direct,2023-01-03,9,233.95,2807.42,631,3,6,40.9,2.9,3193.44,0,
NX-00166,Mortgage Refinance,East Anglia,Organic Search,2024-04-18,3,806.61,9679.29,737,1,1,65.8,1.3,13551.01,0,
NX-00167,Personal Loan,South East,Referral,2024-04-18,47,199.81,2397.78,574,3,4,16.7,4.1,3286.95,1,2024-06-09
NX-00168,Personal Loan,North West,Paid Ads,2024-04-10,17,160.5,1926.01,648,3,3,41.8,0.8,3314.34,0,
NX-00169,Personal Loan,North West,Paid Ads,2023-08-12,44,206.4,2476.8,669,2,4,41.4,10.0,6068.17,0,
NX-00170,Business Line of Credit,South East,Paid Ads,2024-04-06,7,573.05,6876.59,629,1,2,66.3,3.3,9226.09,0,
NX-00171,Auto Finance,London,Direct,2023-06-24,9,302.77,3633.25,649,3,5,71.7,1.5,2437.31,0,
NX-00172,Personal Loan,Wales,Referral,2024-01-22,31,209.11,2509.27,756,2,4,45.0,2.4,4757.15,0,
NX-00173,Business Line of Credit,Scotland,Referral,2024-01-20,10,511.62,6139.44,748,2,2,46.3,4.0,8237.08,0,
NX-00174,Personal Loan,South East,Organic Search,2023-03-31,17,127.47,1529.68,719,3,3,74.3,4.8,2230.78,0,
NX-00175,Auto Finance,North West,Organic Search,2024-02-12,4,326.73,3920.76,737,1,1,64.2,11.1,3201.95,0,
NX-00176,Personal Loan,Midlands,Paid Ads,2023-08-29,8,99.48,1193.8,645,1,1,70.8,0.7,1427.58,0,
NX-00177,Auto Finance,East Anglia,Referral,2023-02-04,1,237.33,2847.91,612,1,4,51.6,2.1,2907.24,0,
NX-00178,Business Line of Credit,London,Organic Search,2023-01-14,3,568.94,6827.23,635,1,2,28.7,0.3,9558.13,0,
NX-00179,Mortgage Refinance,Midlands,Referral,2023-07-14,1,650.66,7807.86,643,1,2,14.6,0.3,227.73,1,2023-08-13
NX-00180,Personal Loan,Scotland,Partnership,2024-02-01,1,163.79,1965.47,646,2,3,66.0,0.3,1891.77,0,
NX-00181,Personal Loan,London,Paid Ads,2024-03-06,52,282.35,3388.17,709,2,2,38.7,0.9,7016.34,0,
NX-00182,Personal Loan,Scotland,Paid Ads,2023-11-02,3,101.39,1216.66,697,1,1,16.6,3.6,816.18,0,
NX-00183,Mortgage Refinance,Scotland,Referral,2023-11-30,15,489.24,5870.84,670,4,2,51.8,5.9,8732.88,0,
NX-00184,Mortgage Refinance,East Anglia,Referral,2023-08-01,25,561.27,6735.19,673,1,3,48.1,1.7,9429.26,0,
NX-00185,Personal Loan,London,Paid Ads,2024-02-14,11,50.0,600.0,740,3,2,38.3,2.4,192.5,1,2024-08-30
NX-00186,Auto Finance,London,Paid Ads,2023-01-03,2,277.39,3328.64,608,2,3,41.0,0.7,3883.42,0,
NX-00187,Auto Finance,North West,Organic Search,2023-06-28,18,200.04,2400.48,723,3,1,56.7,4.7,3360.67,0,
NX-00188,Business Line of Credit,Wales,Partnership,2023-02-09,12,276.77,3321.29,563,1,1,56.2,6.6,2712.39,0,
NX-00189,Business Line of Credit,Wales,Organic Search,2024-03-27,18,384.61,4615.32,648,2,2,11.3,2.0,2423.04,1,2025-04-06
NX-00190,Personal Loan,Midlands,Paid Ads,2023-06-13,20,70.46,845.53,763,4,4,51.2,0.5,1035.77,0,
NX-00191,Personal Loan,North West,Referral,2023-11-03,51,131.52,1578.27,696,2,2,34.7,0.0,3314.36,0,
NX-00192,Mortgage Refinance,London,Referral,2023-08-23,11,249.66,2995.89,654,3,1,71.5,2.3,2970.93,0,
NX-00193,Mortgage Refinance,North West,Referral,2023-09-14,5,538.57,6462.82,730,1,4,48.6,2.1,4335.47,0,
NX-00194,Auto Finance,London,Paid Ads,2023-12-26,14,298.35,3580.17,712,3,1,24.4,7.8,1461.9,1,2024-02-29
NX-00195,Personal Loan,Scotland,Organic Search,2024-05-09,1,159.09,1909.05,710,1,4,84.7,0.1,55.68,1,2024-06-08
NX-00196,Personal Loan,South East,Partnership,2024-02-21,31,239.79,2877.44,668,2,0,33.6,0.5,4867.67,0,
NX-00197,Auto Finance,North West,Organic Search,2024-01-26,1,266.31,3195.68,732,1,2,46.1,0.7,3075.85,0,
NX-00198,Mortgage Refinance,Midlands,Partnership,2024-01-08,5,516.54,6198.46,644,2,2,64.5,2.4,7954.68,0,
NX-00199,Mortgage Refinance,North West,Organic Search,2023-04-26,23,384.1,4609.2,641,2,3,27.7,1.0,6990.62,0,
NX-00200,Auto Finance,Scotland,Organic Search,2023-02-21,12,105.74,1268.86,783,2,1,72.7,0.7,1813.41,0,
NX-00201,Auto Finance,Scotland,Organic Search,2024-01-11,7,278.37,3340.47,652,3,0,44.4,2.2,4871.52,0,
NX-00202,Personal Loan,London,Paid Ads,2024-01-30,8,163.44,1961.32,568,1,2,46.4,0.1,1658.95,0,
NX-00203,Personal Loan,South East,Organic Search,2024-02-15,26,282.59,3391.13,738,4,3,46.0,11.1,3758.51,0,
NX-00204,Mortgage Refinance,London,Paid Ads,2023-05-22,5,620.12,7441.4,754,3,1,21.3,5.9,9549.8,0,
NX-00205,Auto Finance,London,Paid Ads,2023-03-27,28,256.95,3083.4,667,2,1,56.7,1.0,3597.3,0,
NX-00206,Personal Loan,Scotland,Direct,2024-04-08,1,188.5,2262.0,564,1,1,64.8,1.2,3166.8,0,
NX-00207,Personal Loan,London,Referral,2023-02-15,20,234.42,2813.05,676,1,3,66.6,0.8,4430.56,0,
NX-00208,Auto Finance,Scotland,Referral,2023-11-28,26,331.34,3976.08,793,1,1,19.0,7.9,5914.43,0,
NX-00209,Personal Loan,East Anglia,Referral,2024-05-11,2,280.13,3361.61,691,3,3,53.9,3.2,2058.99,0,
NX-00210,Personal Loan,London,Organic Search,2023-08-26,7,132.64,1591.63,722,1,2,75.7,2.2,2506.82,0,
NX-00211,Business Line of Credit,North West,Direct,2023-01-10,2,546.75,6561.05,725,1,1,53.8,2.1,3827.28,0,
NX-00212,Auto Finance,North West,Paid Ads,2023-06-01,17,256.17,3074.04,733,1,2,12.9,0.5,1524.21,1,2024-01-01
NX-00213,Auto Finance,East Anglia,Direct,2023-03-02,10,305.49,3665.87,782,1,2,35.6,9.9,1069.21,1,2023-05-05
NX-00214,Personal Loan,London,Organic Search,2024-05-08,14,146.54,1758.47,739,1,1,52.0,7.4,2154.13,0,
NX-00215,Auto Finance,Scotland,Referral,2023-01-18,3,278.64,3343.67,675,1,1,40.1,9.1,3413.33,0,
NX-00216,Personal Loan,East Anglia,Referral,2023-03-27,3,192.69,2312.32,618,4,1,7.9,1.0,1753.51,0,
